Player1,SO_y1,predictedStrikeouts1,prop1,Bet1,SuccessfulBet1,Player2,SO_y2,predictedStrikeouts2,prop2,Bet2,SuccessfulBet2,Player3,SO_y3,predictedStrikeouts3,prop3,Bet3,SuccessfulBet3,Player4,SO_y4,predictedStrikeouts4,prop4,Bet4,SuccessfulBet4,Player5,SO_y5,predictedStrikeouts5,prop5,Bet5,SuccessfulBet5,Player6,SO_y6,predictedStrikeouts6,prop6,Bet6,SuccessfulBet6,Date,BetAmount,Outcome,SuccessfulParlay
Shohei Ohtani,7,7.2555165726152255,7.5,Under,Yes,Andrew Heaney,7,5.198933721670856,6.5,Under,No,Framber Valdez,12,5.0699593553659295,5.5,Under,No,Lucas Giolito,9,4.5560249560609964,5.5,Under,No,Clarke Schmidt,7,4.513633820054189,6.5,Under,No,Grayson Rodriguez,4,4.445108967781384,5.5,Under,Yes,2023-05-09,5,-5,No
Clayton Kershaw,8,7.109837720049494,7.5,Under,No,Zack Wheeler,7,5.836611937407116,6.5,Under,No,Justin Verlander,7,4.966630264093607,6.5,Under,No,Cristian Javier,11,4.759483586848788,6.5,Under,No,Jordan Montgomery,3,4.696345620828088,5.5,Under,Yes,Justin Steele,3,4.585497651640339,5.5,Under,Yes,2023-05-10,5,-5,No
Yu Darvish,7,5.1402967390471925,6.5,Under,No,Mike Clevinger,2,4.228859303373117,4.5,Under,Yes,Brady Singer,4,3.758360002967496,4.5,Under,Yes,Bailey Ober,6,6.145601970893191,4.5,Over,Yes,Drew Rasmussen,7,5.792015621350547,4.5,Over,Yes,Alex Cobb,3,5.203922739657561,4.5,Over,No,2023-05-11,5,-3,Yes
Spencer Strider,12,7.067412054139812,8.5,Under,No,Sonny Gray,9,5.652543326881983,6.5,Under,No,Blake Snell,4,5.5854244368024455,6.5,Under,Yes,Ken Waldichuk,5,4.400066768779659,5.5,Under,Yes,Corbin Burnes,7,4.382810282654225,6.5,Under,No,Logan Allen,5,4.204153309362115,4.5,Under,No,2023-05-12,5,-5,No
Joe Ryan,10,5.81391000781645,7.5,Under,No,Chris Sale,9,5.632083838885048,6.5,Under,No,Shane McClanahan,3,5.625879556522341,6.5,Under,Yes,Bryce Miller,3,5.106755296214629,5.5,Under,Yes,Reid Detmers,3,4.890838964700438,5.5,Under,Yes,Joe Musgrove,5,4.630411920821352,5.5,Under,Yes,2023-05-13,5,-3,Yes
Logan Gilbert,4,5.275035025321141,6.5,Under,Yes,Clarke Schmidt,5,5.207517915767666,5.5,Under,Yes,Andrew Heaney,9,5.124553365527488,6.5,Under,No,Marcus Stroman,3,4.564444507341173,5.5,Under,Yes,Tony Gonsolin,6,4.153023628440327,4.5,Under,No,Yusei Kikuchi,7,4.148696391990293,5.5,Under,No,2023-05-14,5,-5,No
Shohei Ohtani,5,6.428958520694744,7.5,Under,Yes,Hunter Greene,8,5.22811049951692,5.5,Under,No,Freddy Peralta,4,5.133652917517024,5.5,Under,Yes,Charlie Morton,10,4.82299174940886,6.5,Under,No,Jack Flaherty,10,4.745901009307897,5.5,Under,No,Merrill Kelly,9,4.6000964141133736,6.5,Under,No,2023-05-15,5,-5,No
Cristian Javier,5,7.259994925268803,7.5,Under,Yes,Clayton Kershaw,7,7.190542471730579,7.5,Under,Yes,Kevin Gausman,10,7.1108694709010045,7.5,Under,No,Zack Wheeler,8,6.036152036408814,6.5,Under,No,Justin Verlander,3,5.646829111410173,6.5,Under,Yes,Luis Castillo,6,5.292509407241735,5.5,Under,No,2023-05-16,5,-5,No
Spencer Strider,7,7.045926992403261,9.5,Under,Yes,MacKenzie Gore,7,5.949848584469472,6.5,Under,No,Gerrit Cole,6,5.310518282486026,6.5,Under,Yes,Edward Cabrera,6,4.7825889958013175,5.5,Under,No,Brayan Bello,7,4.77447004039896,5.5,Under,No,Chris Bassitt,7,4.647165665712365,5.5,Under,No,2023-05-17,5,-5,No
Dylan Cease,3,4.722662945386071,6.5,Under,Yes,Tyler Wells,7,4.566825649577463,5.5,Under,No,Tylor Megill,4,4.173562455978404,4.5,Under,Yes,Tyler Anderson,2,4.167077868125291,4.5,Under,Yes,Nestor Cortes,6,4.092876872074711,4.5,Under,No,Trevor Williams,5,3.2390470643626394,4.5,Under,No,2023-05-18,5,-5,No
Shane McClanahan,7,6.6088558069005,7.5,Under,Yes,Joe Ryan,9,5.754142266474373,6.5,Under,No,Blake Snell,5,5.419393199965317,6.5,Under,Yes,Yusei Kikuchi,3,5.220911081850198,5.5,Under,Yes,Reid Detmers,12,5.1719516362451134,5.5,Under,No,Bryce Elder,6,5.137636208327881,5.5,Under,No,2023-05-19,5,-5,No
Hunter Brown,9,5.459149056746248,6.5,Under,No,Louie Varland,4,5.177677278184563,5.5,Under,Yes,Patrick Sandoval,3,4.815519244558004,5.5,Under,Yes,Joe Musgrove,6,4.524365278999367,5.5,Under,No,Aaron Nola,10,4.423992125644562,6.5,Under,No,Jon Gray,6,4.362122216184946,5.5,Under,No,2023-05-20,5,-5,No
Shohei Ohtani,9,7.893459654395365,8.5,Under,No,Framber Valdez,7,6.307878403494771,7.5,Under,Yes,Hunter Greene,10,6.100180866130927,6.5,Under,No,Clayton Kershaw,6,6.028368544997313,6.5,Under,Yes,Andrew Heaney,5,5.495386323766574,6.5,Under,Yes,Josiah Gray,2,4.906157679492737,5.5,Under,Yes,2023-05-21,5,-3,Yes
