,dtype
Player_Erasmo Ramirez,float64
Player_Eric Lauer,float64
Player_Erick Fedde,float64
Player_Erik Swanson,float64
Player_Ethan Small,float64
Player_Eury Pérez,float64
Player_Evan Lee,float64
Player_Fernando Cruz,float64
Player_Framber Valdez,float64
Player_Frankie Montas,float64
Player_Freddy Peralta,float64
Player_Gabe Speier,float64
Player_Garrett Hill,float64
Player_Garrett Richards,float64
Player_Garrett Whitlock,float64
Player_Gavin Stone,float64
Player_George Kirby,float64
Player_German Marquez,float64
Player_Germán Márquez,float64
Player_Gerrit Cole,float64
Player_Glenn Otto,float64
Player_Graham Ashcraft,float64
Player_Grayson Rodriguez,float64
Player_Griffin Canning,float64
Player_Hayden Wesneski,float64
Player_Hogan Harris,float64
Player_Huascar Ynoa,float64
Player_Humberto Castellanos,float64
Player_Hunter Brown,float64
Player_Hunter Gaddis,float64
Player_Hunter Greene,float64
Player_Hyun Jin Ryu,float64
Player_Ian Anderson,float64
Player_J.P. Feyereisen,float64
Player_J.P. France,float64
Player_JP Sears,float64
Player_JT Brubaker,float64
Player_JT Chargois,float64
Player_Jack Flaherty,float64
Player_Jackson Tetreault,float64
Player_Jacob deGrom,float64
Player_Jaime Barria,float64
Player_Jake Irvin,float64
Player_Jake Odorizzi,float64
Player_Jake Woodford,float64
Player_Jakob Junis,float64
Player_Jalen Beeks,float64
Player_James Kaprielian,float64
Player_James Paxton,float64
Player_Jameson Taillon,float64
Player_Janson Junk,float64
Player_Jared Koenig,float64
Player_Jared Shuster,float64
Player_Jason Alexander,float64
Player_Javier Assad,float64
Player_Javy Guerra,float64
Player_Jeff Hoffman,float64
Player_Jeffrey Springs,float64
Player_Jerad Eickhoff,float64
Player_Jesse Chavez,float64
Player_Jesse Scholtens,float64
Player_Jesus Luzardo,float64
Player_Jesus Tinoco,float64
Player_Jesús Luzardo,float64
Player_Jhonathan Diaz,float64
Player_Jhony Brito,float64
Player_Jimmy Cordero,float64
Player_Jimmy Herget,float64
Player_Jimmy Lambert,float64
Player_Jimmy Yacabonis,float64
Player_Joan Adon,float64
Player_Joe Kelly,float64
Player_Joe Musgrove,float64
Player_Joe Ryan,float64
Player_Joey Lucchesi,float64
Player_Joey Wentz,float64
Player_Johan Oviedo,float64
Player_John Brebbia,float64
Player_John Means,float64
Player_Johnny Cueto,float64
Player_Jon Gray,float64
Player_Jonathan Heasley,float64
Player_Jordan Hicks,float64
Player_Jordan Lyles,float64
Player_Jordan Montgomery,float64
Player_Jose Berrios,float64
Player_Jose Quintana,float64
Player_Jose Suarez,float64
Player_Jose Urena,float64
Player_Jose Urquidy,float64
Player_Josh Fleming,float64
Player_Josh Rogers,float64
Player_Josh Sborz,float64
Player_Josh Staumont,float64
Player_Josh Taylor,float64
Player_Josh Winckowski,float64
Player_Josh Winder,float64
Player_Josiah Gray,float64
Player_José Berríos,float64
Player_José Butto,float64
Player_José Suarez,float64
Player_José Ureña,float64
Player_José Urquidy,float64
Player_Julian Merryweather,float64
Player_Julio Teheran,float64
Player_Julio Urias,float64
Player_Julio Urías,float64
Player_Justin Dunn,float64
Player_Justin Steele,float64
Player_Justin Verlander,float64
Player_Karl Kauffmann,float64
Player_Keegan Akin,float64
Player_Keegan Thompson,float64
Player_Ken Waldichuk,float64
Player_Kenny Rosenberg,float64
Player_Kenta Maeda,float64
Player_Kevin Gausman,float64
Player_Kirk McCarty,float64
Player_Kodai Senga,float64
Player_Kohei Arihara,float64
Player_Konnor Pilkington,float64
Player_Kris Bubic,float64
Player_Kutter Crawford,float64
Player_Kyle Bradish,float64
Player_Kyle Freeland,float64
Player_Kyle Gibson,float64
Player_Kyle Hendricks,float64
Player_Kyle Muller,float64
Player_Kyle Nelson,float64
Player_Kyle Wright,float64
Player_Lance Lynn,float64
Player_Lance McCullers Jr.,float64
Player_Levi Stoudt,float64
Player_Logan Allen,float64
Player_Logan Gilbert,float64
Player_Logan Webb,float64
Player_Louie Varland,float64
Player_Lucas Giolito,float64
Player_Luis Castillo,float64
Player_Luis Cessa,float64
Player_Luis Garcia,float64
Player_Luis Medina,float64
Player_Luis Ortiz,float64
Player_Luis Patino,float64
Player_Luis Severino,float64
Player_Luke Farrell,float64
Player_Luke Weaver,float64
Player_MacKenzie Gore,float64
Player_Madison Bumgarner,float64
Player_Marco Gonzales,float64
Player_Marcus Stroman,float64
Player_Mark Leiter Jr.,float64
