Date,Player,SO_y,SO_Prop,prop
2023-05-17,Rich Hill,7,4.5,4.5
2023-05-23,Rich Hill,9,4.5,4.5
2023-05-29,Rich Hill,3,5.0,5.5
2023-06-09,Rich Hill,6,5.5,4.5
2023-05-13,Roansy Contreras,1,4.5,4.5
2023-05-21,Roansy Contreras,3,4.0,3.5
2023-06-07,Roansy Contreras,1,4.0,5.5
2023-06-07,Ronel Blanco,5,3.5,4.5
2023-05-17,Ross Stripling,2,3.5,3.5
2023-05-13,Ryan Feltner,0,4.5,3.5
2023-05-17,Ryne Nelson,6,3.5,4.5
2023-05-23,Ryne Nelson,4,3.5,3.5
2023-05-29,Ryne Nelson,1,3.5,4.5
2023-06-10,Ryne Nelson,4,3.5,4.5
2023-06-15,Ryne Nelson,5,3.5,4.5
2023-05-19,Sandy Alcantara,5,5.5,6.5
2023-05-24,Sandy Alcantara,3,6.0,5.5
2023-05-30,Sandy Alcantara,3,6.0,5.5
2023-06-10,Sandy Alcantara,4,5.5,5.5
2023-05-10,Sean Manaea,4,4.0,4.5
2023-05-10,Seth Lugo,5,5.0,5.5
2023-05-16,Seth Lugo,2,5.0,5.5
2023-05-09,Shane Bieber,9,4.0,6.5
2023-05-26,Shane Bieber,2,5.0,5.5
2023-06-06,Shane Bieber,2,4.5,5.5
2023-06-11,Shane Bieber,9,4.5,4.5
2023-05-13,Shane McClanahan,3,7.0,6.5
2023-05-19,Shane McClanahan,7,7.0,7.5
2023-05-24,Shane McClanahan,7,6.5,5.5
2023-05-30,Shane McClanahan,7,6.5,6.5
2023-06-11,Shane McClanahan,5,6.5,6.5
2023-05-09,Shohei Ohtani,7,8.5,7.5
2023-05-09,Shohei Ohtani,7,8.5,7.5
2023-05-15,Shohei Ohtani,5,8.5,7.5
2023-05-15,Shohei Ohtani,5,8.5,7.5
2023-05-21,Shohei Ohtani,9,8.0,8.5
2023-05-21,Shohei Ohtani,9,8.0,8.5
2023-06-09,Shohei Ohtani,6,8.0,7.5
2023-06-09,Shohei Ohtani,6,8.0,7.5
2023-06-15,Shohei Ohtani,3,8.0,7.5
2023-06-15,Shohei Ohtani,3,7.5,7.5
2023-05-12,Sonny Gray,9,6.5,6.5
2023-05-17,Sonny Gray,4,6.5,5.5
2023-05-23,Sonny Gray,6,6.5,6.5
2023-05-29,Sonny Gray,3,6.5,5.5
2023-06-09,Sonny Gray,5,6.0,4.5
2023-06-15,Sonny Gray,3,5.5,6.5
2023-05-12,Spencer Strider,12,8.5,8.5
2023-05-17,Spencer Strider,7,8.5,9.5
2023-05-23,Spencer Strider,11,8.5,8.5
2023-05-28,Spencer Strider,9,8.5,8.5
2023-06-08,Spencer Strider,8,8.5,8.5
2023-06-14,Spencer Strider,6,8.5,8.5
2023-05-13,Steven Matz,4,4.5,4.5
2023-05-19,Steven Matz,6,4.5,4.5
2023-05-24,Steven Matz,2,4.5,5.5
2023-05-12,Taijuan Walker,3,4.5,3.5
2023-05-17,Taijuan Walker,1,4.5,4.5
2023-05-21,Taijuan Walker,3,4.5,4.5
2023-05-26,Taijuan Walker,1,4.5,4.5
2023-06-01,Taijuan Walker,2,4.0,3.5
2023-06-06,Taijuan Walker,8,3.5,4.5
2023-05-18,Taj Bradley,4,5.5,4.5
2023-05-23,Taj Bradley,7,6.0,4.5
2023-05-29,Taj Bradley,8,6.0,5.5
2023-06-10,Taj Bradley,4,6.5,5.5
2023-06-15,Taj Bradley,11,6.5,5.5
2023-05-14,Tanner Bibee,7,4.5,5.5
2023-05-21,Tanner Bibee,3,4.5,4.5
2023-05-27,Tanner Bibee,9,4.5,4.5
2023-06-01,Tanner Bibee,6,5.0,5.5
2023-06-13,Tanner Bibee,3,5.5,4.5
2023-05-15,Tanner Houck,5,4.5,4.5
2023-05-22,Tanner Houck,8,4.5,4.5
2023-05-28,Tanner Houck,4,5.0,4.5
2023-06-10,Tanner Houck,6,5.0,5.5
2023-05-22,Tommy Henry,5,3.5,4.5
2023-05-31,Tommy Henry,7,3.5,4.5
2023-06-06,Tommy Henry,2,3.5,3.5
2023-06-12,Tommy Henry,6,3.5,4.5
2023-05-14,Tony Gonsolin,6,3.5,4.5
2023-05-19,Tony Gonsolin,3,3.5,4.5
2023-05-24,Tony Gonsolin,4,3.5,4.5
2023-05-30,Tony Gonsolin,2,4.0,4.5
2023-06-06,Tony Gonsolin,5,3.5,4.5
2023-06-13,Tony Gonsolin,6,3.5,4.5
2023-05-13,Trevor Williams,1,3.5,3.5
2023-05-18,Trevor Williams,5,3.5,4.5
2023-05-24,Trevor Williams,5,3.5,3.5
2023-05-29,Trevor Williams,3,3.5,3.5
2023-06-11,Trevor Williams,6,4.0,3.5
2023-06-10,Triston McKenzie,5,3.5,6.5
2023-05-12,Tyler Anderson,1,3.5,3.5
2023-05-18,Tyler Anderson,2,3.5,4.5
2023-05-24,Tyler Anderson,3,3.5,4.5
2023-05-30,Tyler Anderson,3,3.5,4.5
2023-06-06,Tyler Anderson,5,3.5,4.5
2023-06-12,Tyler Anderson,7,3.5,4.5
2023-05-27,Tyler Glasnow,8,3.5,6.5
2023-06-09,Tyler Glasnow,6,3.5,7.5
2023-06-14,Tyler Glasnow,6,5.0,8.5
2023-05-13,Tyler Wells,8,4.5,4.5
2023-05-18,Tyler Wells,7,5.0,5.5
2023-05-24,Tyler Wells,8,5.0,4.5
2023-05-29,Tyler Wells,7,5.5,4.5
2023-06-09,Tyler Wells,4,6.0,6.5
2023-06-15,Tyler Wells,8,6.5,4.5
2023-05-12,Tylor Megill,4,3.5,3.5
2023-05-18,Tylor Megill,4,3.5,4.5
2023-05-28,Tylor Megill,3,4.0,3.5
2023-06-09,Tylor Megill,1,4.0,4.5
2023-05-10,Wade Miley,3,3.5,4.5
2023-05-16,Wade Miley,0,3.5,3.5
2023-05-11,Yu Darvish,7,6.0,6.5
2023-05-23,Yu Darvish,4,6.5,5.5
2023-05-28,Yu Darvish,2,6.5,5.5
2023-06-09,Yu Darvish,6,6.0,5.5
2023-05-14,Yusei Kikuchi,7,5.0,5.5
2023-05-19,Yusei Kikuchi,3,4.5,5.5
2023-05-24,Yusei Kikuchi,5,4.5,4.5
2023-05-30,Yusei Kikuchi,4,5.0,5.5
2023-06-09,Yusei Kikuchi,4,5.0,5.5
2023-06-15,Yusei Kikuchi,7,5.0,5.5
2023-05-13,Zac Gallen,6,8.0,6.5
2023-05-19,Zac Gallen,2,7.5,6.5
2023-05-24,Zac Gallen,3,7.5,6.5
2023-05-30,Zac Gallen,7,7.0,6.5
2023-06-11,Zac Gallen,5,6.5,6.5
2023-05-27,Zach Davies,3,3.5,3.5
2023-06-01,Zach Davies,4,3.5,4.5
2023-06-07,Zach Davies,8,3.5,3.5
2023-06-13,Zach Davies,4,3.5,3.5
2023-05-09,Zach Eflin,4,5.0,4.5
2023-05-14,Zach Eflin,9,5.5,4.5
2023-05-25,Zach Eflin,0,6.0,4.5
2023-05-31,Zach Eflin,5,6.0,5.5
2023-06-06,Zach Eflin,9,6.0,5.5
2023-06-12,Zach Eflin,6,5.5,5.5
2023-05-13,Zack Greinke,5,3.5,3.5
2023-05-19,Zack Greinke,4,3.5,3.5
2023-05-24,Zack Greinke,5,3.5,3.5
2023-06-06,Zack Greinke,3,4.0,3.5
2023-06-12,Zack Greinke,4,4.0,3.5
2023-05-10,Zack Wheeler,7,6.5,6.5
2023-05-16,Zack Wheeler,8,6.5,6.5
2023-05-22,Zack Wheeler,3,6.5,6.5
2023-05-27,Zack Wheeler,12,6.5,6.5
2023-06-13,Zack Wheeler,7,7.0,6.5
